Id,Names,Hair_Color,Gender,Tags
116,Kurapika,Blonde Hair,Male,"['Analytical', 'Chain Fighter', 'Exotic Eyes', 'Orphan', 'Piercings', 'Teenager', 'Vengeful']"
117,Tomoya OKAZAKI,Blue Hair,Male,"['Charismatic', 'Delinquent', 'Disabled', 'Mischievous']"
118,Black Star,Turquoise Hair,Male,"['Big Ego', 'Hot-Headed', 'Martial Artist', 'Ninja', 'Sword Fighter', 'Tattoo', 'Teenager']"
119,Nagisa FURUKAWA,Brown Hair,Female,"['Crybaby', 'Dandere', 'Eternal Optimist', 'Hair Antenna', 'Sickly']"
120,Shota AIZAWA,Black Hair,Male,"['Adult', 'Eye Bags', 'Facial Hair', 'Martial Artist', 'Scarf', 'Sleepyhead', 'Superpowers', 'Teacher']"
121,Grimmjow JEAGERJAQUES,Blue Hair,Male,"['Bloodthirsty', 'Hot-Headed', 'Masks']"
122,Zero KIRYU,Grey Hair,Male,"['High School Student', 'Piercings', 'Tattoo', 'Teenager', 'Twin', 'Vampire']"
123,Eijiro KIRISHIMA,Red Hair,Male,"['High School Student', 'Muscular', 'Scar', 'Sharp Teeth', 'Superpowers', 'Teenager']"
124,Might GUY,Black Hair,Male,"['Adult', 'Beastmaster', 'Epic Eyebrows', 'Eternal Optimist', 'Honorable Fighter', 'Ninja']"
125,Gajeel REDFOX,Black Hair,Male,"['Big Ego', 'Hot-Headed', 'Magic User', 'No Eyebrows', 'Piercings']"
126,Inuyasha,White Hair,Male,"['Animal Ears', 'Barefoot', 'Broken Record', 'Half-Breed', 'Hot-Headed', 'Oversized Weapon', 'Sword Fighter', 'Traveler', 'Vengeful', 'Youkai']"
127,Gintoki SAKATA,White Hair,Male,"['Adult', 'Big Eater', 'Lazy', 'Poor', 'Samurai', 'Sweet Tooth', 'Sword Fighter']"
128,Takashi MORINOZUKA,Black Hair,Male,"['High School Student', 'Host', 'Martial Artist', 'Stoic', 'Teenager', 'Wealthy']"
129,Nyu,Pink Hair,Female,"['Frequently-Naked', 'Horns', 'Split Personality', 'Teenager']"
130,Zenitsu AGATSUMA,Multicolored Hair,Male,"['Comic Relief', 'Cowardly', 'Crybaby', 'Demon Hunter', 'Orphan', 'Sword Fighter', 'Teenager']"
131,Yuzuru OTONASHI,Orange Hair,Male,['Amnesia']
132,Mei MISAKI,Black Hair,Female,"['Artist', 'Eye Patch', 'Kuudere', 'Middle School Student', 'Teenager']"
133,Juuzou SUZUYA,,Male,"['Bloodthirsty', 'Detective', 'Knife Fighter', 'Police', 'Scar']"
134,Tony Tony Chopper,Brown Hair,Male,"['Animal', 'Anthropomorphic', 'Deer', 'Doctor', 'Hat', 'Pirate', 'Sailor', 'Superpowers', 'Sweet Tooth']"
135,Renji ABARAI,Red Hair,Male,"['Agent of the Afterlife', 'Headband', 'Ponytail', 'Shinigami', 'Sword Fighter', 'Tattoo']"
136,Holo,Brown Hair,Female,"['Animal Ears', 'Big Eater', 'Deity', 'Heavy Drinker', 'Human Guise', 'Immortal', 'Mischievous', 'Tail', 'Traveler', 'Verbal Tic', 'Wolf']"
137,All Might,Blonde Hair,Male,"['Adult', 'Anti-Gravity Hair', 'Charismatic', 'Eye Bags', 'Masked Hero', 'Muscular', 'Scar', 'Sickly', 'Superpowers', 'Teacher']"
138,Shinigami,,Male,"['Agent of the Afterlife', 'Masks', 'School Principal', 'Scythe Wielder', 'Shinigami']"
139,Revy,Purple Hair,Female,"['Adult', 'Bloodthirsty', 'Dual Wielder', 'Gloves', 'Gunslinger', 'Heavy Drinker', 'Hot-Headed', 'Mercenary', 'Ponytail', 'Smoker', 'Tattoo']"
140,Nagisa SHIOTA,Blue Hair,Male,"['Analytical', 'Assassin', 'Middle School Student', 'Teenager']"
141,Shanks,Red Hair,Male,"['Adult', 'Facial Hair', 'Pirate', 'Sailor', 'Scar', 'Sword Fighter']"
142,Genos,Blonde Hair,Male,"['Cyborg', 'Piercings', 'Teenager', 'Vengeful']"
143,Izumi CURTIS,Black Hair,Female,"['Adult', 'Alchemist', 'Dreadlocks', 'Hot-Headed', 'Martial Artist', 'Merchant', 'Ponytail', 'Sickly', 'Tattoo', 'Teacher']"
144,Yoko LITTNER,Red Hair,Female,"['Gloves', 'Gunslinger', 'Ponytail', 'Scantily-clad', 'Scarf']"
145,Hitagi SENJOGAHARA,Purple Hair,Female,"['High School Student', 'Teenager', 'Unconventional Weapon']"
146,Ban,Blue Hair,Male,"['Adult', 'Cook', 'Heavy Drinker', 'Immortal', 'Magic User', 'Scar', 'Tattoo', 'Thief']"
147,Yui,Black Hair,Female,"['Artificial Intelligence (AI)', 'Barefoot']"
148,Annie LEONHART,Blonde Hair,Female,"['Martial Artist', 'Military', 'Stoic', 'Sword Fighter']"
149,Greed,Black Hair,Male,"['Armor', 'Immortal', 'Selfish', 'Sunglasses', 'Superpowers']"
150,Yu NISHINOYA,Multicolored Hair,Male,"['Airhead', 'Athlete', 'High School Student', 'Teenager', 'Volleyball Player']"
151,Allen WALKER,White Hair,Male,"['Big Eater', 'Cursebearer', 'Demon Hunter', 'Exorcist', 'Orphan', 'Scar', 'Teenager']"
152,Yui,Pink Hair,Female,"['Band Member', 'Hair Antenna', 'Hair Ribbons', 'Hyperactive', 'Snaggletooth', 'Tail']"
153,Gin ICHIMARU,Grey Hair,Male,"['Agent of the Afterlife', 'Closed Eyes', 'Kansai Dialect', 'Shinigami', 'Sword Fighter']"
154,Osamu DAZAI,Brown Hair,Male,"['Adult', 'Analytical', 'Bandages', 'Detective', 'Mischievous', 'Superpowers']"
155,Tohru HONDA,Brown Hair,Female,"['Airhead', 'Clumsy', 'Cook', 'Eternal Optimist', 'Hair Ribbons', 'High School Student', 'Orphan', 'Part Time Employee', 'Poor', 'Teenager']"
156,Deidara,Blonde Hair,Male,"['Artist', 'Big Ego', 'Blinding Bangs', 'Earth Powers', 'Elemental Powers', 'Explosives Expert', 'Headband', 'Hot-Headed', 'Ninja', 'Ponytail', 'Verbal Tic']"
157,Jellal FERNANDES,Blue Hair,Male,"['Darkness Powers', 'Elemental Powers', 'Face Markings', 'Magic User']"
158,Mio AKIYAMA,Black Hair,Female,"['Band Member', 'Bassist', 'Dandere', 'High School Student', 'Musician', 'School Idol', 'Shy', 'Singer', 'Teenager']"
159,Rias GREMORY,Red Hair,Female,"['Club President', 'Demon', 'Frequently-Naked', 'Hair Antenna', 'High School Student', 'Wings']"
160,Akame,Black Hair,Female,"['Assassin', 'Big Eater', 'Poison User', 'Rapunzel Hair', 'Sister Complex', 'Stoic', 'Sword Fighter']"
161,Yuji ITADORI,Pink Hair,Male,"['Airhead', 'Cursebearer', 'Exorcist', 'Shared Body', 'Teenager']"
162,Tomoe,White Hair,Male,"['Animal Ears', 'Hot-Headed', 'Immortal', 'Kitsune', 'Magical Familiar', 'Magic User', 'Youkai']"
163,Tetsuya KUROKO,Blue Hair,Male,"['Analytical', 'Athlete', 'Basketball Player', 'High School Student', 'Stoic', 'Teenager']"
164,Hideyoshi NAGACHIKA,Orange Hair,Male,"['Analytical', 'Eternal Optimist', 'Part Time Employee', 'Teenager', 'University Student']"
165,Tsubaki NAKATSUKASA,Black Hair,Female,"['Ninja', 'Ponytail', 'Shapeshifter', 'Teenager']"
166,Kenshin HIMURA,Red Hair,Male,"['Adult', 'Honorable Fighter', 'Orphan', 'Ponytail', 'Samurai', 'Scar', 'Verbal Tic']"
167,Grell SUTCLIFFE,Red Hair,Female,"['Agent of the Afterlife', 'Butler', 'LGBT+', 'Masochistic', 'Rapunzel Hair', 'Shinigami', 'Transgender']"
168,Akamaru,Multicolored Hair,Male,"['Animal', 'Closed Eyes', 'Dog', 'Ninja']"
169,Ochaco URARAKA,Brown Hair,Female,"['Gravity Manipulator', 'High School Student', 'Rosy Cheeks', 'Superpowers', 'Teenager']"
170,Juvia LOXAR,Blue Hair,Female,"['Elemental Powers', 'Hat', 'Magic User', 'Water Powers']"
171,Kon,,Male,"['Comic Relief', 'Cowardly', 'Pervert']"
172,Klein,Brown Hair,Male,"['Adult', 'Armor', 'Bandana', 'Facial Hair', 'Person in a Strange World', 'Sword Fighter', 'Video Gamer', 'Warrior']"
173,Vash the Stampede,Blonde Hair,Male,"['Anti-Gravity Hair', 'Big Eater', 'Gloves', 'Gunslinger', 'Mole', 'Pacifist', 'Piercings', 'Scar', 'Sunglasses', 'Twin']"
174,Rin TOHSAKA,Black Hair,Female,"['Hair Ribbons', 'High School Student', 'Magic User', 'Pigtails', 'Teenager', 'Tsundere']"
175,Orochimaru,Black Hair,Male,"['Adult', 'Beastmaster', 'Manipulative', 'Necromancer', 'Ninja', 'Overly Long Tongue', 'Piercings', 'Ruthless']"
176,Pain,Orange Hair,Male,"['Beastmaster', 'Gravity Manipulator', 'Headband', 'Ninja', 'Piercings', 'Ruthless']"
177,Loke,Orange Hair,Male,"['Elemental Powers', 'Flirt', 'Light Powers', 'Magic User', 'Sunglasses']"
178,Calcifer,,Male,"['Demon', 'Elemental Powers', 'Fire Powers']"
179,Neliel Tu ODELSCHWANCK,Turquoise Hair,Female,"['Healing Powers', 'Masks', 'Scar', 'Verbal Tic']"
180,Yuki NAGATO,Purple Hair,Female,"['Bookworm', 'Hacker', 'High School Student', 'Kuudere', 'Stoic']"
181,Koshi SUGAWARA,Grey Hair,Male,"['Athlete', 'High School Student', 'Mole', 'Teenager', 'Volleyball Player']"
182,Jean KIRSCHTEIN,Brown Hair,Male,"['Hot-Headed', 'Military', 'Sword Fighter']"
183,Erwin SMITH,Blonde Hair,Male,"['Adult', 'Analytical', 'Military', 'Sword Fighter']"
